,catagory,sub_cata_1,sub_cata_2,product,price,review,review_num
321,Women's Clothes,Sports Bras,,"Flow Y Nulu Bra Shine Light Support, A–C Cups",52.0,4.4,15
322,Women's Clothes,Coats & Jackets,,Long Insulated Bomber Vest,198.0,4.2,10
323,Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Tight 31"" Online Only",98.0,4.0,177
324,Women's Clothes,Skirts,,Side-Pleat High-Rise Tennis Skirt,98.0,4.5,84
325,Women's Clothes,Shorts,,"Inner Glow High-Rise Short 3"" Online Only",74.0,4.4,352
326,Women's Clothes,Sports Bras,,lululemon Align™ Ribbed Bra Light Support C/D Cup,58.0,4.8,20
327,Women's Clothes,Sports Bras,,"High-Neck Square-Back Train Bra Medium Support, B/C Cup Online Only",74.0,4.4,20
328,Women's Clothes,Sports Bras,,"lululemon Energy Bra Neon Wash Medium Support, B-D Cups",54.0,4.4,5
329,Women's Clothes,Hoodies & Sweatshirts,,Modal Spacer Training Half-Zip Hoodie Online Only,138.0,4.3,15
330,Women's Clothes,Shorts,,"Hotty Hot Low Rise Short 4""",78.0,4.3,1193
331,Women's Clothes,Coats & Jackets,,Team Canada Women's Wunder Puff Jacket COC Logo,298.0,4.7,7
332,Women's Clothes,Shorts,,"Evergreen High-Rise Short 4.5""",68.0,4.0,142
333,Women's Clothes,Pants,Sweatpants,Adapted State High-Rise Jogger Full Length,138.0,4.3,962
334,Women's Clothes,Shorts,,"Scuba High-Rise Short 5""",78.0,4.4,21
335,Women's Clothes,Pants,Joggers,Adapted State High-Rise Fleece Jogger Full Length,148.0,4.0,209
336,Women's Clothes,Hoodies & Sweatshirts,,It's Rulu Run Ribbed Half Zip,108.0,4.5,20
337,Women's Clothes,Hoodies & Sweatshirts,,New Year Hooded Define Jacket Nulu,138.0,4.5,88
338,Women's Clothes,Pants,Joggers,Convertible High-Rise Hiking Jogger Full Length,198.0,4.1,115
339,Women's Clothes,Shirts,Long Sleeve Shirts,Ribbed Modal-Silk Blend Long Sleeve Shirt,88.0,3.7,7
340,Women's Clothes,Pants,Leggings,"Swift Speed High-Rise Tight 25""",138.0,4.0,210
341,Women's Clothes,Shirts,T-Shirts,Softstreme Relaxed-Fit T-Shirt,78.0,4.7,26
342,Women's Clothes,Shorts,,"lululemon lab Embossed Nulu Yoga Short 8""",98.0,,0
343,Women's Clothes,Shirts,Long Sleeve Shirts,lululemon lab Merino Wool-Blend Mock Neck Long Sleeve Shirt,118.0,3.2,5
344,Women's Clothes,Pants,Leggings,"Wunder Train High-Rise Tight 25"" Foil",128.0,4.4,114
345,Women's Clothes,Pants,Leggings,"SenseKnit Composite High-Rise Running Tight 28""",198.0,4.2,13
